Season,Building type,Cooling startegy_building level,Climate,Thermal sensation,Koppen climate classification,Clo,Met,Thermal preference,Relative humidity,Air velocity,Country,Air temperature
3,2,2,12,-1.0,2,0.72,1.0,2,59.0,1.3,6,28.8
3,2,2,12,-1.0,2,0.72,1.0,0,59.0,1.3,6,28.8
3,2,0,12,1.0,2,0.64,1.0,1,59.0,1.08,6,29.2
3,2,0,12,0.0,2,0.7,1.0,1,59.0,1.08,6,29.2
3,2,0,12,-1.0,2,0.84,1.0,2,59.0,1.08,6,29.2
3,2,0,12,3.0,2,0.84,1.0,1,59.0,1.08,6,29.2
3,2,2,12,-2.0,2,0.7,1.0,2,54.0,0.12,6,26.0
3,2,2,12,2.0,2,0.84,1.0,1,54.0,0.12,6,26.0
3,2,2,12,2.0,2,0.72,1.0,1,54.0,0.12,6,26.0
3,2,2,12,0.0,2,0.75,1.0,1,54.0,0.12,6,26.0
3,2,2,12,-1.0,2,0.72,1.0,1,54.0,0.12,6,26.0
3,2,2,12,-3.0,2,0.64,1.0,2,54.0,0.12,6,26.0
3,2,2,12,-1.0,2,0.66,1.0,0,51.0,0.01,6,24.9
3,2,2,12,0.0,2,0.75,1.0,0,51.0,0.01,6,24.9
3,2,2,12,0.0,2,0.75,1.0,0,51.0,0.01,6,24.9
3,2,2,12,1.0,2,0.7,1.0,1,51.0,0.01,6,24.9
3,2,2,12,-2.0,2,0.64,1.0,0,53.0,0.01,6,24.8
3,2,2,12,-1.0,2,0.64,1.0,2,53.0,0.01,6,24.8
3,2,2,12,0.0,2,0.75,1.0,0,50.0,0.22,6,25.1
3,2,2,12,0.0,2,0.7,1.0,0,50.0,0.22,6,25.1
3,2,2,12,-2.0,2,0.84,1.0,0,50.0,0.22,6,25.1
3,2,2,12,0.0,2,0.64,1.0,1,50.0,0.22,6,25.1
3,2,2,12,-1.0,2,0.7,1.0,2,50.0,0.22,6,25.1
3,2,2,12,0.0,2,0.64,1.0,1,50.0,0.22,6,25.1
3,2,2,12,-2.0,2,0.7,1.0,0,50.0,0.22,6,25.1
3,2,2,12,-1.0,2,0.66,1.0,0,50.0,0.22,6,25.1
3,2,2,12,-1.0,2,0.64,1.0,2,50.0,0.22,6,25.1
3,2,2,12,-1.0,2,0.7,1.0,0,50.0,0.22,6,25.1
3,2,2,12,-1.0,2,0.97,1.0,0,50.0,0.22,6,25.1
3,2,2,12,-1.0,2,0.95,1.0,0,50.0,0.09,6,25.2
3,2,2,12,1.0,2,0.72,1.0,1,50.0,0.09,6,25.2
3,2,2,12,-2.0,2,0.97,1.0,2,50.0,0.09,6,25.2
3,2,2,12,-2.0,2,0.75,1.0,0,50.0,0.01,6,25.7
3,2,2,12,0.0,2,0.64,1.0,0,50.0,0.01,6,25.7
3,2,2,12,0.0,2,0.7,1.0,1,50.0,0.02,6,25.7
3,2,2,12,-1.0,2,0.64,1.0,2,50.0,0.02,6,25.7
3,2,2,12,-2.0,2,0.7,1.0,0,50.0,0.02,6,25.7
3,2,2,12,-1.0,2,0.7,1.0,0,50.0,0.02,6,25.7
3,2,2,12,0.0,2,0.64,1.0,2,50.0,0.02,6,25.7
3,2,2,12,-1.0,2,0.7,1.0,0,50.0,0.02,6,25.7
3,2,2,12,-1.0,2,0.72,1.0,0,50.0,0.54,6,25.6
3,2,0,12,-1.0,2,0.72,1.0,2,46.0,0.02,6,27.8
3,2,0,12,2.0,2,0.59,2.0,1,46.0,0.02,6,27.8
3,2,0,12,1.0,2,0.66,1.0,1,46.0,0.02,6,27.8
3,2,0,12,2.0,2,0.72,1.0,1,46.0,0.02,6,27.8
3,2,0,12,-1.0,2,0.72,1.0,2,46.0,0.02,6,27.8
3,2,0,12,1.0,2,0.7,1.0,1,39.0,0.04,6,26.9
3,2,0,12,-1.0,2,0.7,1.0,2,39.0,0.04,6,26.9
3,2,0,12,2.0,2,0.7,1.0,1,39.0,0.04,6,26.9
3,2,0,12,3.0,2,0.64,1.0,1,39.0,0.04,6,26.9
3,2,0,12,2.0,2,0.7,1.0,1,39.0,0.04,6,26.9
3,2,0,12,2.0,2,0.7,1.0,1,43.0,0.03,6,27.4
3,2,0,12,2.0,2,0.84,1.0,1,43.0,0.03,6,27.4
